sample_id,condition,replicate,library_type,fastq_r1,fastq_r2,is_control,control_id,use_for_idr,use_for_diffbind,enabled
ALLpool,ALLpool,1,chip,/ictstr01/groups/idc/projects/uhlenhaut/jiang/pipelines/chip_runs/marjolein/X208SC26034859-Z01-F001/02.mergeRawData/ALLpool_R1.fq.gz,/ictstr01/groups/idc/projects/uhlenhaut/jiang/pipelines/chip_runs/marjolein/X208SC26034859-Z01-F001/02.mergeRawData/ALLpool_R2.fq.gz,FALSE,,FALSE,FALSE,TRUE
Cpool,Cpool,1,chip,/ictstr01/groups/idc/projects/uhlenhaut/jiang/pipelines/chip_runs/marjolein/X208SC26034859-Z01-F001/02.mergeRawData/Cpool_R1.fq.gz,/ictstr01/groups/idc/projects/uhlenhaut/jiang/pipelines/chip_runs/marjolein/X208SC26034859-Z01-F001/02.mergeRawData/Cpool_R2.fq.gz,FALSE,,FALSE,FALSE,TRUE
Npool,Npool,1,chip,/ictstr01/groups/idc/projects/uhlenhaut/jiang/pipelines/chip_runs/marjolein/X208SC26034859-Z01-F001/02.mergeRawData/Npool_R1.fq.gz,/ictstr01/groups/idc/projects/uhlenhaut/jiang/pipelines/chip_runs/marjolein/X208SC26034859-Z01-F001/02.mergeRawData/Npool_R2.fq.gz,FALSE,,FALSE,FALSE,TRUE
